model,trainingTime,mae_train,mae_valid,rmse_train,rmse_valid,pct3j_valid,pct7j_valid,poids,inferenceTime
Régression Lineaire,396,6.920354429947979,6.5985980845164605,8.952875612156758,8.384724122695538,30.671150020583895,59.97541448472617,1.2470703125,4
Régression pénalisée Ridge L2,150,6.920354898275707,6.598598990120177,8.952875612194909,8.384724368817727,30.67057424739247,59.97541448472617,1.22265625,1
Régression pénalisée Lasso L1,407,6.908557821736572,6.584328077722141,8.956596815370334,8.397995402173649,31.018341255012828,60.3059082966038,1.2998046875,1
Régression pénalisée ElasticNet,557,7.431077382056324,7.158833385360938,9.522007168714799,9.03950559312447,26.209483560235952,57.2237944029088,1.314453125,1
KNN,1331,3.1400753954541964,6.21966898799225,4.368347693487156,8.12078462942039,29.790504924300222,67.48522422047508,106890.177734375,2
Arbre de décision,7089,2.678612891957635,5.945374046255699,4.142524476711376,7.644292851827714,30.384414971254525,73.09037623899194,89193.5068359375,1
Forêt aléatoire,267414,3.2347362949892275,5.022679576810803,4.4595877377355455,6.446312249605199,35.47770462259507,75.3586347266085,2920313.0595703125,6
Gradient boosting,656947,3.2422839657568283,5.333547897932722,4.432291507532645,6.71749543587053,31.939290474696207,72.44925279034082,3603.521484375,1
